Task,Start.End,Type,Time
fetchmem,start,intra,1719254104055
fetchmem,end,intra,1719254104065
validateURL,start,inter,1719255760606
validateURL,end,inter,1719255766500
parsepage,start,inter,1719255767552
parsepage,end,inter,1719255769779
validateURL,start,inter,1719255779754
validateURL,end,inter,1719255782172
parsepage,start,inter,1719255783090
parsepage,end,inter,1719255786342
validateURL,start,inter,1719255796482
validateURL,end,inter,1719255803342
parsepage,start,inter,1719255804290
parsepage,end,inter,1719255808569
validateURL,start,inter,1719255820137
validateURL,end,inter,1719255823168
parsepage,start,inter,1719255824180
parsepage,end,inter,1719255826293
validateURL,start,inter,1719255837108
validateURL,end,inter,1719255841764
parsepage,start,inter,1719255842666
parsepage,end,inter,1719255845440
validateURL,start,inter,1719255861915
validateURL,end,inter,1719255870662
parsepage,start,inter,1719255871621
parsepage,end,inter,1719255880037
validateURL,start,inter,1719255892533
validateURL,end,inter,1719255895226
parsepage,start,inter,1719255896186
parsepage,end,inter,1719255898390
validateURL,start,inter,1719255905581
validateURL,end,inter,1719255914676
parsepage,start,inter,1719255915573
parsepage,end,inter,1719255925768
validateURL,start,inter,1719255938393
validateURL,end,inter,1719255942703
parsepage,start,inter,1719255943613
parsepage,end,inter,1719255947298
validateURL,start,inter,1719255962276
validateURL,end,inter,1719255969653
parsepage,start,inter,1719255970700
parsepage,end,inter,1719255978086
validateURL,start,inter,1719256000950
validateURL,end,inter,1719256007439
parsepage,start,inter,1719256008535
parsepage,end,inter,1719256011054
validateURL,start,inter,1719256035741
validateURL,end,inter,1719256040589
parsepage,start,inter,1719256041588
parsepage,end,inter,1719256045244
validateURL,start,inter,1719256054615
validateURL,end,inter,1719256061544
parsepage,start,inter,1719256062528
parsepage,end,inter,1719256065295
validateURL,start,inter,1719256077833
validateURL,end,inter,1719256083272
parsepage,start,inter,1719256084230
parsepage,end,inter,1719256086921
validateURL,start,inter,1719256098037
validateURL,end,inter,1719256103991
parsepage,start,inter,1719256104944
parsepage,end,inter,1719256107270
validateURL,start,inter,1719256114297
validateURL,end,inter,1719256116859
parsepage,start,inter,1719256117781
parsepage,end,inter,1719256120035
validateURL,start,inter,1719256128214
validateURL,end,inter,1719256134520
parsepage,start,inter,1719256135416
parsepage,end,inter,1719256141191
validateURL,start,inter,1719256151232
validateURL,end,inter,1719256158046
parsepage,start,inter,1719256158976
parsepage,end,inter,1719256164662
validateURL,start,inter,1719256181272
validateURL,end,inter,1719256185013
parsepage,start,inter,1719256185973
parsepage,end,inter,1719256190655
validateURL,start,inter,1719256200380
validateURL,end,inter,1719256211391
parsepage,start,inter,1719256212321
parsepage,end,inter,1719256225330
validateURL,start,inter,1719256233912
validateURL,end,inter,1719256239310
parsepage,start,inter,1719256240273
parsepage,end,inter,1719256245027
validateURL,start,inter,1719256253341
validateURL,end,inter,1719256256045
parsepage,start,inter,1719256257035
parsepage,end,inter,1719256259470
validateURL,start,inter,1719256269393
validateURL,end,inter,1719256272513
parsepage,start,inter,1719256273413
parsepage,end,inter,1719256275978
